Query,Motor,Media (s),Std Dev (s),Min (s),Max (s),Mediana (s),Iteraciones
Query 1 (BASE AGREGACION),postgres,2.1727835655212404,0.2743164383170109,1.906430959701538,2.540186882019043,1.9794859886169434,5
Query 1 (BASE AGREGACION),spark,0.8849488735198975,0.4801388434469724,0.5419950485229492,1.795867919921875,0.5812520980834961,5
Query 2 (BASE COMPLEX),postgres,2.4233978748321534,1.4795255675379035,1.554661750793457,5.3750786781311035,1.7189397811889648,5
Query 2 (BASE COMPLEX),spark,3.0385912895202636,0.6986885827569957,2.4550299644470215,4.343961238861084,2.6660590171813965,5
Query 1 GPT-5 (PG),postgres,1.1301023006439208,0.4583355311408163,0.5358567237854004,1.6495797634124756,1.360901117324829,5
Query 2 GPT-5 (PG),postgres,0.9619874477386474,0.16962986203953806,0.8496239185333252,1.288572072982788,0.8527429103851318,5
Query 1 GEMINI (PG),postgres,0.5282290935516357,0.019876711078833167,0.5175869464874268,0.5679717063903809,0.5185387134552002,5
Query 2 GEMINI (PG),postgres,0.9186733722686767,0.09668800542056846,0.8534078598022461,1.1043570041656494,0.8576860427856445,5
Query 1 CLAUDE (PG),postgres,0.5282839775085449,0.020414693772606386,0.5170812606811523,0.5690748691558838,0.5186192989349365,5
Query 2 CLAUDE (PG),postgres,1.0723232746124267,0.017334366896048527,1.0562560558319092,1.106003999710083,1.065507173538208,5
Query 1 GPT-5 (Spark),spark,0.7290051937103271,0.22796450185952472,0.515059232711792,1.1549551486968994,0.6599118709564209,5
Query 2 GPT-5 (Spark),spark,3.134353494644165,0.3088191937483747,2.799522876739502,3.583747148513794,2.9683620929718018,5
Query 1 GEMINI (Spark),spark,0.6186599254608154,0.09522287376899446,0.5532426834106445,0.79899001121521,0.5548520088195801,5
Query 2 GEMINI (Spark),spark,2.499267816543579,0.19645642808252287,2.3405649662017822,2.875624418258667,2.4235949516296387,5
Query 1 CLAUDE (Spark),spark,0.5609128475189209,0.148737614585984,0.4094381332397461,0.8070862293243408,0.5311832427978516,5
Query 2 CLAUDE (Spark),spark,1.4547811508178712,0.2836123727572085,1.0932650566101074,1.8979721069335938,1.3216187953948975,5
